,product_id,price,brand,cat_0,cat_1
168,1005212,166.53,samsung,construction,tools
169,6800658,37.32,kingston,appliances,kitchen
170,6800658,37.32,kingston,appliances,kitchen
171,21800289,5.06,x-game,computers,peripherals
172,1307352,411.82,acer,electronics,audio
173,1005115,845.29,apple,construction,tools
174,1005212,166.53,samsung,construction,tools
175,6701209,651.21,palit,appliances,environment
176,6500907,102.71,gigabyte,apparel,shoes
177,1004836,231.38,samsung,construction,tools
178,6800658,32.18,kingston,appliances,kitchen
179,1005212,166.49,samsung,construction,tools
180,1004767,226.38,samsung,construction,tools
181,1002544,423.86,apple,construction,tools
182,1003533,275.4,samsung,construction,tools
183,1004767,226.27,samsung,construction,tools
184,1005100,141.06,samsung,construction,tools
185,1004903,91.38,huawei,construction,tools
186,1005115,838.32,apple,construction,tools
187,1004768,223.24,samsung,construction,tools
188,100012418,10.27,centek,electronics,camera
189,1201361,257.4,xiaomi,apparel,shoes
190,1005105,1212.71,apple,construction,tools
191,1004856,129.96,samsung,construction,tools
192,6301570,42.45,galaxy,electronics,camera
193,1005100,140.28,samsung,construction,tools
194,2502095,43.55,shivaki,appliances,kitchen
195,2501753,40.82,artel,appliances,kitchen
196,2500566,56.28,asel,appliances,kitchen
197,6301570,42.45,galaxy,electronics,camera
198,2501069,46.31,asel,appliances,kitchen
199,8700571,21.31,moser,appliances,personal
200,8700571,21.31,moser,appliances,personal
201,6800658,33.18,kingston,appliances,kitchen
202,14500100,35.26,bene,appliances,kitchen
203,1004873,307.77,samsung,construction,tools
204,8700572,24.4,wahl,appliances,personal
205,26400293,236.3,lucente,computers,peripherals
206,5800956,79.79,pride,electronics,audio
