,user_id
0,529283885
1,512397411
2,514055577
3,514055577
4,514055577
5,514055577
6,514055577
7,514055577
8,514055577
9,514055577
10,515992325
11,515992325
12,515992325
13,515992325
14,515992325
15,561242596
16,512397411
17,570133722
18,574375088
19,570133722
20,570133722
21,570133722
22,514055577
23,514055577
24,514055577
25,543864770
26,518780950
27,514055577
28,512397411
29,512397411
30,589730178
31,609063581
32,523516423
33,518662378
34,585836356
35,612592112
36,544961204
37,544961204
38,526002368
39,526002368
40,526002368
41,526002368
42,531180938
43,531180938
44,526002368
45,526002368
46,526002368
47,526002368
48,526002368
49,526002368
50,526002368
51,558137173
52,551653108
53,551653108
54,516873093
55,516873093
56,516873093
57,516873093
58,516873093
59,516873093
60,516873093
61,516873093
62,516873093
63,516873093
64,516873093
65,516873093
66,516873093
67,516873093
68,516873093
69,516873093
70,516873093
71,516873093
72,516873093
73,516873093
74,516873093
75,516873093
76,516873093
77,516873093
78,516873093
79,516873093
80,516873093
81,516873093
82,516873093
83,516873093
84,516873093
85,516873093
86,516873093
87,516873093
88,516873093
89,516873093
90,516873093
91,516873093
92,516873093
93,516873093
94,516873093
95,516873093
96,516873093
97,516873093
98,516873093
99,516873093
100,516873093
101,516873093
102,516873093
103,516873093
104,516873093
105,516873093
106,516873093
107,516873093
108,516873093
109,516873093
110,616588883
111,576449243
112,576449243
113,517255995
114,537126207
115,551653108
116,551653108
117,514066211
118,593123999
119,516873093
120,516873093
121,553915458
122,517255995
123,551653108
124,551653108
125,581402782
126,576449243
127,576449243
128,555531058
129,555531058
130,555531058
131,515018538
132,526606405
133,581826501
134,512893781
135,512742781
136,512742781
137,512742781
138,527998810
139,512893781
140,527929756
141,527929756
142,527929756
143,527929756
144,512893781
145,512893781
146,541699650
147,524666812
148,524666812
149,518780950
150,501378568
151,518780950
152,525800112
153,589730178
154,524666812
155,524666812
156,590601029
157,512893781
158,512893781
159,512893781
160,512893781
161,512893781
162,512893781
163,512893781
164,512893781
165,512893781
166,512893781
167,512893781
168,512893781
169,512893781
170,524666812
171,524666812
172,524666812
173,586854281
174,586854281
175,586854281
176,590601029
177,590601029
178,590601029
179,581924128
180,581924128
181,586854281
182,586854281
183,561242596
184,512397411
185,590601029
186,576449243
187,568392103
188,586854281
189,586854281
190,534475330
191,568392103
192,515396394
193,515396394
194,515396394
195,515396394
196,515396394
197,515396394
198,515396394
199,515396394
200,515396394
201,515396394
202,512397411
203,534552790
204,524666812
205,561242596
206,514055577
207,514055577
208,537126207
209,534552790
210,537126207
211,518780950
212,518780950
213,518780950
214,564839254
215,518780950
216,518780950
217,552319819
218,552319819
219,576449243
220,514055577
221,568362033
222,518780950
223,579512364
224,574927794
225,518780950
226,598937410
227,544020876
228,589730178
229,601420899
230,601632774
231,516348448
232,601420899
233,586670656
234,600684369
235,579512364
236,579512364
237,579512364
238,515396394
239,601420899
240,601420899
241,601420899
242,601420899
243,601420899
244,601420899
245,601420899
246,601420899
247,531180938
248,577596424
249,577596424
250,601420899
251,601420899
252,601420899
253,601420899
254,601420899
255,601420899
256,601420899
257,603798259
258,601420899
259,589730178
260,561242596
261,601420899
262,514055577
263,514055577
264,514055577
265,514055577
266,514055577
267,601420899
268,601420899
269,601420899
270,601420899
271,601420899
272,601420899
273,534475330
274,534475330
275,534475330
276,534475330
277,541699650
278,551653108
279,577596424
280,577596424
281,577596424
282,524666812
283,524666812
284,524666812
285,524666812
