,user_id
0,566286490
1,566286490
2,566286490
3,566286490
4,514107628
5,515696568
6,515696568
7,515696568
8,515696568
9,515696568
10,512387304
11,513521685
12,513521685
13,566331876
14,566331876
15,513933783
16,513933783
17,513933783
18,566336097
19,516018467
20,514335052
21,518648679
22,514782219
23,513470753
24,515617672
25,531325478
26,513241173
27,513241173
28,566384663
29,515463614
30,523120366
31,523120366
32,523120366
33,523120366
34,523120366
35,523120366
36,523120366
37,523120366
38,523120366
39,522566415
40,521887381
41,514358879
42,513823525
43,514234236
44,521754171
45,521754171
46,532240976
47,527625242
48,562970153
49,536457905
50,536457905
51,536457905
52,536457905
53,536457905
54,536457905
55,536457905
56,536457905
57,536457905
58,536457905
59,513457318
60,520952315
61,547520017
62,515199602
63,515199602
64,515124832
65,537813708
66,512758377
67,512713012
68,554864472
69,546206946
70,552646779
71,531975308
72,551492598
73,512573474
74,566340788
75,532593097
76,559691786
77,529191638
78,516018467
79,563907320
80,515064142
81,515064142
82,545020506
83,566386715
84,526870939
85,563447596
86,526672512
87,557113653
88,552432991
89,538440830
90,533963026
91,559661034
92,566431614
93,517526936
94,562846707
95,562846707
96,514494484
97,548521123
98,564046318
99,563421800
100,543591089
101,566471918
102,513786091
103,523852597
104,536476602
105,543477701
106,560081105
107,560081105
108,512897509
109,537943870
110,525035406
111,537943870
112,537943870
113,537943870
114,529933596
115,537943870
116,537943870
117,537943870
118,537943870
119,566486551
120,552543124
121,529035215
122,513313464
123,566574240
124,566574240
125,539655295
126,539655295
127,539655295
128,512651711
129,549492262
130,551313622
131,551313622
132,514834069
133,559674462
134,520646172
135,533504373
136,551062236
137,551062236
138,512435887
139,512435887
140,530931033
141,566668492
142,566668492
143,520593518
144,517398714
145,520593518
146,545144180
147,554669241
148,534651528
149,543315468
150,566087364
151,540902667
152,540902667
153,515772035
154,515772035
155,515772035
156,515772035
157,513312092
158,563423193
159,515005612
160,525035406
161,516753546
162,543128601
163,543128601
164,543128601
165,513864583
166,552543124
167,536808765
168,536808765
169,536808765
170,566290277
171,566595864
172,538026206
173,513848694
174,513786091
175,558375926
176,564442926
177,549671182
178,546375820
179,540795557
180,536808765
181,512435887
182,551491257
183,512550000
184,552609319
185,535137110
186,562233231
187,561645834
188,513393602
189,566748933
190,560554749
191,565519864
192,541898462
193,541898462
194,517599243
195,515312893
196,524182738
197,535846732
198,535846732
199,517651220
200,516652394
201,541883163
202,547520017
203,566815106
204,516261337
205,515871999
206,566864800
207,543529482
208,514678612
209,518623244
210,518782689
211,561412980
212,522445496
213,515896040
214,517315151
215,515237408
216,520614992
217,561535826
218,546375820
219,512803922
220,557316543
221,519134835
222,564433486
223,539638312
224,512818557
225,512818557
226,515083268
227,563734184
228,545646265
229,558660803
230,545829947
231,547520017
232,547520017
233,547520017
234,534283807
235,534283807
236,534283807
237,534283807
238,539668356
239,534283807
240,519018747
241,549750665
242,549750665
243,551848263
244,535419992
245,562219622
246,522379341
247,545219671
248,520166109
249,566989156
250,520166109
251,520166109
252,520166109
253,550355120
254,550355120
255,550355120
256,550355120
257,532240976
258,550355120
259,550355120
260,550355120
261,550493279
262,520166109
263,525372665
264,515926528
265,566970212
266,566970212
267,566970212
268,516053761
269,566151490
270,534283807
271,534283807
272,557771571
273,519566732
274,522134455
275,516261337
276,523931077
277,534283807
278,514556544
279,512697862
280,524456634
281,524456634
282,524456634
283,513185930
284,513578353
285,537537956
286,512929406
287,564011103
288,512543020
289,542666913
290,563432875
291,515456020
292,567113659
293,530259675
294,538088432
295,547154980
296,559808647
297,547520017
298,542096560
299,534354807
300,567206246
301,567206246
302,556466508
303,519780527
304,516364568
305,516364568
306,516885238
307,526054380
308,526054380
309,531040260
310,531040260
311,531040260
312,531040260
313,531040260
314,531040260
315,512638727
316,512638727
317,547935327
318,517984064
319,516273321
320,516758227
321,516364568
322,516507889
323,512739477
324,512739477
325,514632648
326,514632648
327,550446871
328,553862857
329,517835054
330,517835054
331,515926528
332,515376117
333,567172674
334,536436267
335,550356895
336,561936716
337,546136621
338,542096560
339,550356895
340,550356895
341,512929406
342,524008832
343,531148458
344,554456039
345,516420944
346,538026206
347,538026206
348,513328480
349,512796818
350,538026206
351,567351231
352,553862857
353,512389117
354,547690089
355,512705957
356,563034102
357,550355120
358,550355120
359,550355120
360,512696683
361,515896040
362,512696683
363,521788168
364,514329379
365,512793552
366,518637406
367,559693445
368,567480060
369,558083245
370,517446683
371,517446683
372,565663535
373,517446683
374,517446683
375,520568067
376,516503269
377,563575916
378,538026206
379,518288110
380,547520017
381,567512730
382,549671182
383,555961484
384,550356895
385,534552441
386,534552441
387,534552441
388,534552441
389,534552441
390,534552441
391,512803922
392,562597306
393,562597306
394,514441685
395,546375820
396,520850281
397,549708858
398,512792382
399,551687564
400,523852597
401,523852597
402,529195064
403,515013508
404,536686151
405,562355723
406,551921051
407,563254818
408,550583697
409,558057992
410,558057992
411,553023734
412,513889916
413,526012083
414,538026206
415,538026206
416,517497706
417,521870970
418,516247947
419,512666874
420,512666874
421,515352518
422,520237654
423,520237654
424,520237654
425,520237654
426,547807923
427,547807923
428,515795038
429,547807923
430,521788168
431,565302817
432,565302817
433,514782219
434,566082412
435,548527428
436,548527428
437,566792798
438,536055952
439,536055952
440,512364756
441,518879906
442,551687564
443,556771207
444,522264507
445,539494281
446,522264507
447,555051172
